sku,warehouse,available_inventory,reserved_inventory,incoming_inventory,reorder_level
B0BBVKRP7B,WH-EAST,60,3,8,20
B0BBVKRP7B,WH-WEST,113,4,11,15
B0B53DS4TF,WH-EAST,100,8,22,20
B0B53DS4TF,WH-WEST,98,4,13,15
B07JW9H4J1,WH-EAST,158,4,28,20
B07JW9H4J1,WH-WEST,52,4,1,15
B098NS6PVG,WH-EAST,142,9,32,20
B098NS6PVG,WH-WEST,72,1,10,15
B096MSW6CT,WH-EAST,171,6,23,20
B096MSW6CT,WH-WEST,92,5,18,15
B07KSMBL2H,WH-EAST,105,8,13,20
B07KSMBL2H,WH-WEST,60,1,6,15
B07KCMR8D6,WH-EAST,0,4,12,20
B07KCMR8D6,WH-WEST,0,6,11,15
B00N1U9AJS,WH-EAST,14,7,35,20
B00N1U9AJS,WH-WEST,9,0,5,15
B07WKBD37W,WH-EAST,55,6,20,20
B07WKBD37W,WH-WEST,25,3,4,15
B00DJ5N9VK,WH-EAST,169,4,14,20
B00DJ5N9VK,WH-WEST,35,4,18,15
B0912WJ87V,WH-EAST,122,4,11,20
B0912WJ87V,WH-WEST,45,2,8,15
B07BKSSDR2,WH-EAST,100,6,9,20
B07BKSSDR2,WH-WEST,78,5,9,15
B08HDJ86NZ,WH-EAST,164,6,21,20
B08HDJ86NZ,WH-WEST,87,3,14,15
