order_id,order_date,sku,quantity,selling_price,currency,order_status,discount
ORD-10001,2026-07-15,B096MSW6CT,2,₹199,INR,Completed,
ORD-10002,2026-07-15,B0B53DS4TF,4,"₹4,995",INR,Completed,
ORD-10002,2026-07-15,B07JW9H4J1,1,₹399,INR,Completed,
ORD-10002,2026-07-15,B00N1U9AJS,1,₹130,INR,Completed,
ORD-10003,2026-07-15,B07BKSSDR2,4,₹899,INR,Completed,10%
ORD-10004,2026-07-15,B00DJ5N9VK,2,₹150,INR,Completed,
ORD-10004,2026-07-15,B0B53DS4TF,1,"₹4,995",INR,Shipped,
ORD-10005,2026-07-15,B07WKBD37W,1,₹425,INR,Completed,
ORD-10005,2026-07-15,B07BKSSDR2,1,₹899,INR,Completed,
ORD-10006,2026-07-15,B00N1U9AJS,4,₹130,INR,Completed,10%
ORD-10006,2026-07-15,B07JW9H4J1,4,₹399,INR,Completed,
ORD-10006,2026-07-15,B098NS6PVG,1,₹199,INR,Completed,
ORD-10007,2026-07-15,B00DJ5N9VK,3,₹150,INR,Shipped,
ORD-10008,2026-07-15,B0B53DS4TF,4,"₹4,995",INR,Completed,
ORD-10009,2026-07-15,B0BBVKRP7B,4,₹281,INR,Completed,10%
ORD-10009,2026-07-15,B08HDJ86NZ,4,₹329,INR,Completed,
ORD-10009,2026-07-15,B00DJ5N9VK,4,₹150,INR,Completed,
ORD-10010,2026-07-15,B07BKSSDR2,3,₹899,INR,Completed,
ORD-10010,2026-07-15,B00DJ5N9VK,2,₹150,INR,Shipped,
ORD-10011,2026-07-15,B096MSW6CT,4,₹199,INR,Completed,
ORD-10012,2026-07-15,B07BKSSDR2,1,₹899,INR,Shipped,
ORD-10012,2026-07-15,B076B8G5D8,3,₹798,INR,Shipped,10%
ORD-10013,2026-07-15,B076B8G5D8,1,₹798,INR,Shipped,
ORD-10014,2026-07-16,B00DJ5N9VK,2,₹150,INR,Shipped,
ORD-10014,2026-07-16,B096MSW6CT,3,₹199,INR,Completed,
ORD-10015,2026-07-16,B098NS6PVG,3,₹199,INR,Completed,
ORD-10016,2026-07-16,B0912WJ87V,4,"₹2,339",INR,Completed,
ORD-10016,2026-07-16,B08HDJ86NZ,1,₹329,INR,Shipped,
ORD-10016,2026-07-16,B00DJ5N9VK,4,₹150,INR,Completed,
ORD-10017,2026-07-16,B0B53DS4TF,1,"₹4,995",INR,Completed,
ORD-10018,2026-07-16,B07JW9H4J1,1,₹399,INR,Completed,
ORD-10018,2026-07-16,B098NS6PVG,2,₹199,INR,Completed,
ORD-10019,2026-07-16,B0BBVKRP7B,1,₹281,INR,Completed,10%
ORD-10019,2026-07-16,B07JW9H4J1,4,₹399,INR,Completed,
ORD-10020,2026-07-16,B00N1U9AJS,1,₹130,INR,Completed,
ORD-10021,2026-07-16,B07KCMR8D6,2,₹50,INR,Completed,
ORD-10021,2026-07-16,B07KSMBL2H,2,₹219,INR,Completed,
ORD-10022,2026-07-16,B0B53DS4TF,1,"₹4,995",INR,Completed,
ORD-10022,2026-07-16,B00DJ5N9VK,2,₹150,INR,Completed,10%
ORD-10023,2026-07-16,B07KSMBL2H,2,₹219,INR,Completed,
ORD-10023,2026-07-16,B00DJ5N9VK,3,₹150,INR,Shipped,
ORD-10024,2026-07-16,B0912WJ87V,4,"₹2,339",INR,Completed,
ORD-10024,2026-07-16,B08HDJ86NZ,4,₹329,INR,Completed,
ORD-10024,2026-07-16,B096MSW6CT,4,₹199,INR,Shipped,
ORD-10025,2026-07-17,B07JW9H4J1,1,₹399,INR,Shipped,
ORD-10025,2026-07-17,B07BKSSDR2,4,₹899,INR,Shipped,
ORD-10025,2026-07-17,B07KCMR8D6,2,₹50,INR,Completed,
ORD-10026,2026-07-17,B098NS6PVG,3,₹199,INR,Completed,
ORD-10026,2026-07-17,B07JW9H4J1,3,₹399,INR,Completed,10%
ORD-10026,2026-07-17,B0912WJ87V,2,"₹2,339",INR,Shipped,10%
ORD-10027,2026-07-17,B096MSW6CT,4,₹199,INR,Completed,
ORD-10028,2026-07-17,B0BBVKRP7B,3,₹281,INR,Completed,
ORD-10028,2026-07-17,B07JW9H4J1,4,₹399,INR,Shipped,
