sku,warehouse,available_inventory,reserved_inventory,incoming_inventory,reorder_level
TR356TBAA4XCOAANID-9814469,WH-EAST,82,8,6,20
TR356TBAA4XCOAANID-9814469,WH-WEST,44,3,11,15
2965074981_MY-14525455955,WH-EAST,169,4,33,20
2965074981_MY-14525455955,WH-WEST,60,2,1,15
13353039_MY-10648467850,WH-EAST,119,6,8,20
13353039_MY-10648467850,WH-WEST,81,4,10,15
556644369_MY-1141786737,WH-EAST,140,1,1,20
556644369_MY-1141786737,WH-WEST,62,0,2,15
6872778045_ID-13022944107,WH-EAST,147,3,32,20
6872778045_ID-13022944107,WH-WEST,38,6,3,15
8208846537_ID-14616530834,WH-EAST,160,7,2,20
8208846537_ID-14616530834,WH-WEST,117,5,8,15
7766536110_ID-14251418035,WH-EAST,0,0,6,20
7766536110_ID-14251418035,WH-WEST,0,3,6,15
2984200288_ID-13976190075,WH-EAST,14,9,19,20
2984200288_ID-13976190075,WH-WEST,9,1,9,15
7696384938_ID-14148478217,WH-EAST,55,4,39,20
7696384938_ID-14148478217,WH-WEST,25,4,19,15
8210810323_ID-14618762295,WH-EAST,144,4,31,20
8210810323_ID-14618762295,WH-WEST,98,3,0,15
1297292854_TH-3195224281,WH-EAST,119,9,35,20
1297292854_TH-3195224281,WH-WEST,73,1,17,15
7713634395_ID-14196874621,WH-EAST,122,0,16,20
7713634395_ID-14196874621,WH-WEST,38,0,6,15
7733258833_ID-14239398054,WH-EAST,79,6,36,20
7733258833_ID-14239398054,WH-WEST,34,2,4,15
