order_id,order_date,sku,quantity,selling_price,currency,order_status,discount
ORD-10001,2026-07-15,8208846537_ID-14616530834,4,16499000,IDR,Completed,
ORD-10001,2026-07-15,2984200288_ID-13976190075,3,307000,IDR,Completed,
ORD-10002,2026-07-15,13353039_MY-10648467850,2,8.699999999999999e+00,MYR,Shipped,
ORD-10003,2026-07-15,7733258833_ID-14239398054,4,27249000,IDR,Completed,10%
ORD-10003,2026-07-15,8210810323_ID-14618762295,1,20299000,IDR,Completed,
ORD-10003,2026-07-15,556644369_MY-1141786737,2,7.120000000000000e+00,MYR,Completed,
ORD-10004,2026-07-15,7713634395_ID-14196874621,3,10800,IDR,Completed,
ORD-10005,2026-07-15,TR356TBAA4XCOAANID-9814469,3,939000,IDR,Shipped,
ORD-10006,2026-07-15,8208846537_ID-14616530834,4,16499000,IDR,Shipped,
ORD-10006,2026-07-15,5183778347_ID-9702626285,4,880000,IDR,Completed,
ORD-10006,2026-07-15,7766536110_ID-14251418035,1,65000,IDR,Shipped,10%
ORD-10007,2026-07-15,7766536110_ID-14251418035,1,65000,IDR,Completed,
ORD-10007,2026-07-15,6872778045_ID-13022944107,4,10000,IDR,Completed,
ORD-10007,2026-07-15,8210810323_ID-14618762295,1,20299000,IDR,Completed,
ORD-10008,2026-07-15,TR356TBAA4XCOAANID-9814469,3,939000,IDR,Completed,
ORD-10009,2026-07-15,556644369_MY-1141786737,3,7.120000000000000e+00,MYR,Completed,
ORD-10009,2026-07-15,8210810323_ID-14618762295,2,20299000,IDR,Completed,10%
ORD-10009,2026-07-15,2984200288_ID-13976190075,1,307000,IDR,Completed,
ORD-10010,2026-07-15,2965074981_MY-14525455955,2,799,MYR,Shipped,
ORD-10011,2026-07-16,7713634395_ID-14196874621,3,10800,IDR,Shipped,10%
ORD-10011,2026-07-16,2965074981_MY-14525455955,1,799,MYR,Completed,
ORD-10012,2026-07-16,8210810323_ID-14618762295,1,20299000,IDR,Shipped,
ORD-10012,2026-07-16,7733258833_ID-14239398054,1,27249000,IDR,Completed,
ORD-10013,2026-07-16,2984200288_ID-13976190075,1,307000,IDR,Completed,
ORD-10014,2026-07-16,7696384938_ID-14148478217,1,9459,IDR,Completed,
ORD-10014,2026-07-16,7713634395_ID-14196874621,4,10800,IDR,Completed,
ORD-10014,2026-07-16,2965074981_MY-14525455955,2,799,MYR,Completed,
ORD-10015,2026-07-16,7766536110_ID-14251418035,1,65000,IDR,Completed,
ORD-10016,2026-07-16,5183778347_ID-9702626285,3,880000,IDR,Completed,
ORD-10016,2026-07-16,2984200288_ID-13976190075,4,307000,IDR,Shipped,
ORD-10017,2026-07-16,8208846537_ID-14616530834,2,16499000,IDR,Completed,
ORD-10017,2026-07-16,7713634395_ID-14196874621,1,10800,IDR,Completed,
ORD-10017,2026-07-16,556644369_MY-1141786737,4,7.120000000000000e+00,MYR,Completed,
ORD-10018,2026-07-16,TR356TBAA4XCOAANID-9814469,3,939000,IDR,Completed,
ORD-10018,2026-07-16,8210810323_ID-14618762295,4,20299000,IDR,Completed,
ORD-10018,2026-07-16,2984200288_ID-13976190075,2,307000,IDR,Completed,
ORD-10019,2026-07-17,6872778045_ID-13022944107,2,10000,IDR,Completed,
ORD-10020,2026-07-17,7766536110_ID-14251418035,4,65000,IDR,Completed,
ORD-10020,2026-07-17,TR356TBAA4XCOAANID-9814469,4,939000,IDR,Shipped,
ORD-10020,2026-07-17,8208846537_ID-14616530834,4,16499000,IDR,Shipped,
ORD-10021,2026-07-17,6872778045_ID-13022944107,3,10000,IDR,Completed,
ORD-10022,2026-07-17,1297292854_TH-3195224281,2,419,THB,Completed,
ORD-10022,2026-07-17,13353039_MY-10648467850,1,8.699999999999999e+00,MYR,Completed,
ORD-10022,2026-07-17,2984200288_ID-13976190075,1,307000,IDR,Completed,
ORD-10023,2026-07-17,8210810323_ID-14618762295,1,20299000,IDR,Completed,
ORD-10023,2026-07-17,2984200288_ID-13976190075,3,307000,IDR,Completed,
ORD-10023,2026-07-17,2965074981_MY-14525455955,3,799,MYR,Completed,
ORD-10024,2026-07-17,6872778045_ID-13022944107,2,10000,IDR,Completed,
ORD-10025,2026-07-17,8210810323_ID-14618762295,1,20299000,IDR,Completed,
ORD-10025,2026-07-17,2965074981_MY-14525455955,4,799,MYR,Shipped,
ORD-10025,2026-07-17,6872778045_ID-13022944107,2,10000,IDR,Shipped,
ORD-10026,2026-07-17,6872778045_ID-13022944107,4,10000,IDR,Shipped,10%
ORD-10026,2026-07-17,8210810323_ID-14618762295,3,20299000,IDR,Completed,
ORD-10027,2026-07-17,5183778347_ID-9702626285,4,880000,IDR,Completed,10%
ORD-10027,2026-07-17,556644369_MY-1141786737,3,7.120000000000000e+00,MYR,Completed,
ORD-10028,2026-07-18,5183778347_ID-9702626285,2,880000,IDR,Shipped,
ORD-10028,2026-07-18,TR356TBAA4XCOAANID-9814469,3,939000,IDR,Completed,
ORD-10028,2026-07-18,556644369_MY-1141786737,3,7.120000000000000e+00,MYR,Completed,
ORD-10029,2026-07-18,6872778045_ID-13022944107,1,10000,IDR,Completed,
ORD-10029,2026-07-18,2965074981_MY-14525455955,1,799,MYR,Shipped,
ORD-10029,2026-07-18,8208846537_ID-14616530834,1,16499000,IDR,Completed,10%
ORD-10030,2026-07-18,2965074981_MY-14525455955,4,799,MYR,Completed,
ORD-10031,2026-07-18,2984200288_ID-13976190075,1,307000,IDR,Completed,
ORD-10032,2026-07-18,7713634395_ID-14196874621,3,10800,IDR,Completed,
