sku,warehouse,available_inventory,reserved_inventory,incoming_inventory,reorder_level
40460214,WH-EAST,83,2,14,20
40460214,WH-WEST,112,1,0,15
40351123,WH-EAST,157,0,27,20
40351123,WH-WEST,100,0,18,15
40540088,WH-EAST,156,7,18,20
40540088,WH-WEST,80,5,17,15
40433938,WH-EAST,130,2,38,20
40433938,WH-WEST,67,4,16,15
39962322,WH-EAST,153,9,24,20
39962322,WH-WEST,51,4,14,15
39788871,WH-EAST,101,7,27,20
39788871,WH-WEST,91,2,8,15
40505782,WH-EAST,0,8,21,20
40505782,WH-WEST,0,0,17,15
41434093,WH-EAST,14,1,15,20
41434093,WH-WEST,9,4,17,15
14063170,WH-EAST,55,9,23,20
14063170,WH-WEST,25,3,1,15
40438113,WH-EAST,137,9,38,20
40438113,WH-WEST,45,3,14,15
40871127,WH-EAST,125,9,27,20
40871127,WH-WEST,73,3,9,15
40470348,WH-EAST,171,6,5,20
40470348,WH-WEST,95,0,13,15
29874249,WH-EAST,159,2,37,20
29874249,WH-WEST,82,4,5,15
