order_id,order_date,sku,quantity,selling_price,currency,order_status,discount
ORD-10001,2026-07-15,29874249,1,17.99,USD,Completed,
ORD-10003,2026-07-15,40470348,4,1.7,USD,Shipped,
ORD-10003,2026-07-15,39962322,3,21.3,USD,Completed,
ORD-10004,2026-07-15,40540088,3,3.45,USD,Completed,10%
ORD-10004,2026-07-15,29874249,4,17.99,USD,Completed,
ORD-10004,2026-07-15,39744348,3,12.2,USD,Completed,
ORD-10005,2026-07-15,41434093,4,2.1,USD,Completed,10%
ORD-10006,2026-07-15,40470348,3,1.7,USD,Completed,
ORD-10006,2026-07-15,40871127,3,20.5,USD,Completed,
ORD-10007,2026-07-15,39788871,3,28.53,USD,Completed,10%
ORD-10008,2026-07-15,40351123,3,2.1,USD,Completed,
ORD-10009,2026-07-15,40438113,3,6.63,USD,Completed,
ORD-10009,2026-07-15,29874249,4,17.99,USD,Completed,10%
ORD-10009,2026-07-15,39788871,4,28.53,USD,Completed,
ORD-10010,2026-07-15,40871127,2,20.5,USD,Shipped,
ORD-10010,2026-07-15,40460214,4,120.99,USD,Completed,10%
ORD-10011,2026-07-15,39962322,1,21.3,USD,Completed,
ORD-10012,2026-07-15,40351123,3,2.1,USD,Completed,
ORD-10012,2026-07-15,40505782,2,16.98,USD,Completed,
ORD-10013,2026-07-16,39788871,3,28.53,USD,Completed,
ORD-10013,2026-07-16,39744348,2,12.2,USD,Completed,
ORD-10014,2026-07-16,39962322,3,21.3,USD,Completed,10%
ORD-10014,2026-07-16,29874249,3,17.99,USD,Completed,10%
ORD-10015,2026-07-16,41434093,1,2.1,USD,Completed,
ORD-10015,2026-07-16,39788871,1,28.53,USD,Completed,
ORD-10016,2026-07-16,40470348,4,1.7,USD,Completed,
ORD-10016,2026-07-16,41434093,2,2.1,USD,Completed,10%
ORD-10017,2026-07-16,40505782,3,16.98,USD,Shipped,
ORD-10018,2026-07-16,40438113,2,6.63,USD,Completed,
ORD-10019,2026-07-16,40433938,3,2.14,USD,Completed,
ORD-10019,2026-07-16,39788871,3,28.53,USD,Completed,10%
ORD-10019,2026-07-16,41434093,3,2.1,USD,Completed,
ORD-10020,2026-07-16,40505782,4,16.98,USD,Shipped,
ORD-10021,2026-07-17,40505782,2,16.98,USD,Completed,
ORD-10021,2026-07-17,40871127,4,20.5,USD,Completed,
ORD-10022,2026-07-17,40505782,4,16.98,USD,Completed,
ORD-10022,2026-07-17,40871127,2,20.5,USD,Completed,
ORD-10023,2026-07-17,40438113,3,6.63,USD,Completed,
ORD-10023,2026-07-17,40460214,1,120.99,USD,Shipped,
