sku,warehouse,available_inventory,reserved_inventory,incoming_inventory,reorder_level
20446341955,WH-EAST,166,8,11,20
20446341955,WH-WEST,108,1,15,15
7334900298,WH-EAST,121,8,23,20
7334900298,WH-WEST,63,4,8,15
21873056212,WH-EAST,142,3,2,20
21873056212,WH-WEST,116,4,19,15
28600553970,WH-EAST,113,4,37,20
28600553970,WH-WEST,79,1,18,15
24412052650,WH-EAST,140,3,7,20
24412052650,WH-WEST,86,2,19,15
21620084724,WH-EAST,72,5,31,20
21620084724,WH-WEST,100,4,15,15
26453475612,WH-EAST,0,1,35,20
26453475612,WH-WEST,0,1,10,15
21567708790,WH-EAST,14,2,33,20
21567708790,WH-WEST,9,2,18,15
27609825445,WH-EAST,55,9,5,20
27609825445,WH-WEST,25,0,14,15
24470567380,WH-EAST,94,6,13,20
24470567380,WH-WEST,77,6,17,15
5592077889,WH-EAST,98,3,18,20
5592077889,WH-WEST,55,1,19,15
23848444766,WH-EAST,77,2,29,20
23848444766,WH-WEST,107,5,6,15
20486442513,WH-EAST,88,5,15,20
20486442513,WH-WEST,93,3,20,15
18903145136,WH-EAST,156,9,28,20
18903145136,WH-WEST,68,4,6,15
25055483646,WH-EAST,69,1,29,20
25055483646,WH-WEST,108,4,14,15
16246130007,WH-EAST,82,1,5,20
16246130007,WH-WEST,63,5,12,15
22768702783,WH-EAST,111,6,26,20
22768702783,WH-WEST,54,2,8,15
21728463885,WH-EAST,168,7,12,20
21728463885,WH-WEST,100,6,18,15
28656568150,WH-EAST,61,4,34,20
28656568150,WH-WEST,82,0,20,15
22572637041,WH-EAST,117,7,0,20
22572637041,WH-WEST,41,3,3,15
23456301518,WH-EAST,109,9,39,20
23456301518,WH-WEST,89,3,18,15
16100642072,WH-EAST,128,9,5,20
16100642072,WH-WEST,116,4,14,15
24832368987,WH-EAST,82,7,39,20
24832368987,WH-WEST,118,4,19,15
22234652646,WH-EAST,64,5,19,20
22234652646,WH-WEST,100,1,5,15
22358439538,WH-EAST,142,8,11,20
