order_id,order_date,sku,quantity,selling_price,currency,order_status,discount
ORD-10001,2026-07-15,21567708790,4,21466,CLP,Completed,
ORD-10001,2026-07-15,24470567380,2,1.956000000000000e+02,MXN,Completed,
ORD-10001,2026-07-15,28600553970,1,405,MXN,Completed,
ORD-10002,2026-07-15,24412052650,4,7.889000000000000e+02,MXN,Completed,10%
ORD-10003,2026-07-15,20446341955,2,3.609000000000000e+02,MXN,Completed,
ORD-10003,2026-07-15,24412052650,4,7.889000000000000e+02,MXN,Shipped,
ORD-10004,2026-07-15,20446341955,4,3.609000000000000e+02,MXN,Completed,10%
ORD-10004,2026-07-15,24470567380,3,1.956000000000000e+02,MXN,Shipped,
ORD-10005,2026-07-15,18974847565,3,10350,CLP,Completed,
ORD-10006,2026-07-15,7334900298,1,8.550000000000000e+01,MYR,Completed,
ORD-10007,2026-07-15,24412052650,1,7.889000000000000e+02,MXN,Completed,
ORD-10007,2026-07-15,21567708790,1,21466,CLP,Shipped,
ORD-10007,2026-07-15,18974847565,3,10350,CLP,Completed,
ORD-10008,2026-07-15,26453475612,1,46785,IDR,Completed,
ORD-10009,2026-07-15,28600553970,4,405,MXN,Completed,
ORD-10009,2026-07-15,21620084724,3,1.819890000000000e+03,MXN,Completed,10%
ORD-10010,2026-07-15,24470567380,2,1.956000000000000e+02,MXN,Shipped,
ORD-10010,2026-07-15,21620084724,2,1.819890000000000e+03,MXN,Shipped,10%
ORD-10010,2026-07-15,5592077889,2,353,THB,Completed,
ORD-10011,2026-07-15,21873056212,2,868,MXN,Completed,
ORD-10011,2026-07-15,20446341955,3,3.609000000000000e+02,MXN,Completed,
ORD-10012,2026-07-15,18974847565,2,10350,CLP,Shipped,
ORD-10013,2026-07-15,20486442513,3,117,THB,Completed,
ORD-10013,2026-07-15,5592077889,2,353,THB,Completed,
ORD-10014,2026-07-16,21567708790,1,21466,CLP,Completed,
ORD-10014,2026-07-16,26453475612,2,46785,IDR,Completed,10%
ORD-10015,2026-07-16,23848444766,2,13000,CLP,Completed,
ORD-10016,2026-07-16,28600553970,3,405,MXN,Shipped,
ORD-10016,2026-07-16,26453475612,4,46785,IDR,Completed,
ORD-10017,2026-07-16,20486442513,4,117,THB,Shipped,
ORD-10017,2026-07-16,18974847565,1,10350,CLP,Completed,10%
ORD-10018,2026-07-16,20446341955,3,3.609000000000000e+02,MXN,Completed,
ORD-10019,2026-07-16,18974847565,1,10350,CLP,Completed,
ORD-10020,2026-07-16,20446341955,3,3.609000000000000e+02,MXN,Completed,
ORD-10020,2026-07-16,21873056212,2,868,MXN,Completed,
