sku,warehouse,available_inventory,reserved_inventory,incoming_inventory,reorder_level
5344195287,WH-EAST,60,3,8,20
5344195287,WH-WEST,113,4,11,15
669112285,WH-EAST,100,8,22,20
669112285,WH-WEST,98,4,13,15
871349337,WH-EAST,158,4,28,20
871349337,WH-WEST,52,4,1,15
382394597,WH-EAST,142,9,32,20
382394597,WH-WEST,72,1,10,15
173530386,WH-EAST,171,6,23,20
173530386,WH-WEST,92,5,18,15
430528189,WH-EAST,105,8,13,20
430528189,WH-WEST,60,1,6,15
161657830,WH-EAST,0,4,12,20
161657830,WH-WEST,0,6,11,15
5397071399,WH-EAST,14,7,35,20
5397071399,WH-WEST,9,0,5,15
512809025,WH-EAST,55,6,20,20
512809025,WH-WEST,25,3,4,15
2749504314,WH-EAST,169,4,14,20
2749504314,WH-WEST,35,4,18,15
5184785010,WH-EAST,122,4,11,20
5184785010,WH-WEST,45,2,8,15
5164703747,WH-EAST,100,6,9,20
5164703747,WH-WEST,78,5,9,15
5155961106,WH-EAST,164,6,21,20
5155961106,WH-WEST,87,3,14,15
908232424,WH-EAST,173,7,10,20
908232424,WH-WEST,66,4,7,15
904020893,WH-EAST,100,8,35,20
904020893,WH-WEST,65,1,16,15
17245067,WH-EAST,69,2,3,20
17245067,WH-WEST,67,6,4,15
2363655537,WH-EAST,136,5,24,20
2363655537,WH-WEST,43,1,18,15
5702032013,WH-EAST,166,9,36,20
5702032013,WH-WEST,110,5,6,15
781490570,WH-EAST,61,1,0,20
781490570,WH-WEST,52,4,5,15
1341833689,WH-EAST,149,7,10,20
1341833689,WH-WEST,74,5,5,15
3813188391,WH-EAST,105,1,20,20
3813188391,WH-WEST,110,0,18,15
1897403279,WH-EAST,136,0,36,20
1897403279,WH-WEST,113,1,19,15
2138573500,WH-EAST,128,3,9,20
2138573500,WH-WEST,91,1,11,15
5219131585,WH-EAST,66,7,29,20
5219131585,WH-WEST,99,3,1,15
871530694,WH-EAST,73,1,28,20
871530694,WH-WEST,113,5,1,15
891036133,WH-EAST,166,10,38,20
891036133,WH-WEST,108,5,8,15
1774083175,WH-EAST,90,9,16,20
1774083175,WH-WEST,95,1,8,15
1093743201,WH-EAST,166,4,25,20
1093743201,WH-WEST,80,4,7,15
411359040,WH-EAST,147,2,12,20
411359040,WH-WEST,68,6,20,15
1612728569,WH-EAST,136,9,8,20
1612728569,WH-WEST,108,4,3,15
1507001378,WH-EAST,120,8,38,20
1507001378,WH-WEST,80,3,4,15
293084792,WH-EAST,114,7,21,20
293084792,WH-WEST,45,3,10,15
2834781358,WH-EAST,151,8,1,20
2834781358,WH-WEST,63,2,11,15
306465658,WH-EAST,84,3,9,20
306465658,WH-WEST,95,4,9,15
5809585615,WH-EAST,69,8,37,20
5809585615,WH-WEST,100,5,14,15
5291664103,WH-EAST,175,8,24,20
5291664103,WH-WEST,32,4,18,15
5062553620,WH-EAST,64,1,4,20
5062553620,WH-WEST,42,1,0,15
469036214,WH-EAST,133,2,5,20
469036214,WH-WEST,115,1,13,15
790957653,WH-EAST,89,10,17,20
790957653,WH-WEST,71,4,15,15
5295270812,WH-EAST,108,1,9,20
5295270812,WH-WEST,67,5,19,15
668480724,WH-EAST,78,5,5,20
668480724,WH-WEST,113,1,12,15
102593173,WH-EAST,80,3,26,20
102593173,WH-WEST,37,3,10,15
2785607950,WH-EAST,179,4,13,20
2785607950,WH-WEST,37,0,0,15
362341632,WH-EAST,110,2,37,20
362341632,WH-WEST,38,5,15,15
5702523237,WH-EAST,112,10,32,20
5702523237,WH-WEST,107,4,11,15
3922793394,WH-EAST,102,5,20,20
3922793394,WH-WEST,67,3,14,15
1017487270,WH-EAST,140,7,35,20
1017487270,WH-WEST,87,5,20,15
435835263,WH-EAST,113,10,39,20
435835263,WH-WEST,74,2,2,15
5053396247,WH-EAST,101,7,30,20
5053396247,WH-WEST,109,6,16,15
1727244137,WH-EAST,85,8,4,20
1727244137,WH-WEST,51,5,16,15
5439347407,WH-EAST,136,5,18,20
5439347407,WH-WEST,94,5,11,15
485354607,WH-EAST,165,7,17,20
485354607,WH-WEST,54,2,4,15
179112912,WH-EAST,131,9,33,20
179112912,WH-WEST,51,2,14,15
1359948905,WH-EAST,165,3,37,20
1359948905,WH-WEST,40,0,3,15
531529503,WH-EAST,108,7,36,20
531529503,WH-WEST,32,1,4,15
944207748,WH-EAST,174,2,5,20
944207748,WH-WEST,93,4,0,15
896931395,WH-EAST,157,8,5,20
896931395,WH-WEST,83,2,14,15
602315286,WH-EAST,175,6,31,20
602315286,WH-WEST,79,4,15,15
1097677016,WH-EAST,132,0,25,20
1097677016,WH-WEST,39,1,12,15
2200709686,WH-EAST,90,6,25,20
2200709686,WH-WEST,50,5,5,15
264801526,WH-EAST,169,7,16,20
264801526,WH-WEST,35,5,13,15
6126862324,WH-EAST,157,9,20,20
6126862324,WH-WEST,39,5,8,15
283514640,WH-EAST,164,7,36,20
283514640,WH-WEST,101,5,4,15
1426167428,WH-EAST,146,1,38,20
1426167428,WH-WEST,44,6,1,15
1792864118,WH-EAST,69,9,35,20
1792864118,WH-WEST,54,6,6,15
6918363302,WH-EAST,84,5,22,20
6918363302,WH-WEST,33,1,6,15
751510659,WH-EAST,118,1,2,20
751510659,WH-WEST,50,1,13,15
34203165,WH-EAST,116,7,20,20
34203165,WH-WEST,103,4,8,15
25997723,WH-EAST,134,8,38,20
25997723,WH-WEST,117,4,12,15
5219876777,WH-EAST,156,1,29,20
5219876777,WH-WEST,45,4,9,15
1063134991,WH-EAST,125,5,5,20
1063134991,WH-WEST,65,0,2,15
696459227,WH-EAST,103,2,26,20
696459227,WH-WEST,61,1,1,15
730250943,WH-EAST,60,9,2,20
730250943,WH-WEST,105,5,6,15
373855792,WH-EAST,108,8,0,20
373855792,WH-WEST,112,6,4,15
1231760315,WH-EAST,137,0,7,20
1231760315,WH-WEST,68,5,15,15
422458903,WH-EAST,90,8,13,20
422458903,WH-WEST,107,3,6,15
5150469476,WH-EAST,90,9,27,20
5150469476,WH-WEST,109,3,17,15
232510830,WH-EAST,158,8,39,20
232510830,WH-WEST,103,4,6,15
247655086,WH-EAST,145,9,7,20
247655086,WH-WEST,59,5,13,15
5684704635,WH-EAST,158,8,33,20
5684704635,WH-WEST,72,0,5,15
6045904134,WH-EAST,83,6,32,20
6045904134,WH-WEST,32,4,17,15
588404711,WH-EAST,164,2,22,20
588404711,WH-WEST,103,3,8,15
839659160,WH-EAST,125,5,15,20
839659160,WH-WEST,98,3,5,15
3440558193,WH-EAST,144,3,10,20
3440558193,WH-WEST,99,4,11,15
5209344136,WH-EAST,173,3,24,20
5209344136,WH-WEST,81,3,13,15
230846860,WH-EAST,129,2,5,20
230846860,WH-WEST,45,2,13,15
5260887729,WH-EAST,165,4,14,20
5260887729,WH-WEST,88,2,3,15
802163708,WH-EAST,79,5,15,20
802163708,WH-WEST,35,1,13,15
945882097,WH-EAST,108,1,34,20
945882097,WH-WEST,71,2,6,15
3511393855,WH-EAST,75,4,8,20
3511393855,WH-WEST,48,4,12,15
885092913,WH-EAST,150,5,35,20
885092913,WH-WEST,101,4,2,15
1543169305,WH-EAST,135,9,23,20
1543169305,WH-WEST,96,6,6,15
432928663,WH-EAST,179,1,12,20
432928663,WH-WEST,33,5,18,15
152355819,WH-EAST,147,2,21,20
152355819,WH-WEST,79,5,4,15
412531616,WH-EAST,157,6,38,20
412531616,WH-WEST,91,2,1,15
27230944,WH-EAST,148,6,28,20
27230944,WH-WEST,76,4,1,15
10308385,WH-EAST,145,8,27,20
10308385,WH-WEST,118,3,4,15
753681550,WH-EAST,136,4,1,20
753681550,WH-WEST,81,5,13,15
1210385172,WH-EAST,177,7,38,20
1210385172,WH-WEST,58,3,12,15
354688867,WH-EAST,84,4,17,20
354688867,WH-WEST,52,0,11,15
5379906696,WH-EAST,154,1,12,20
5379906696,WH-WEST,106,4,8,15
5043424192,WH-EAST,98,1,15,20
5043424192,WH-WEST,56,3,13,15
22374157,WH-EAST,120,4,25,20
22374157,WH-WEST,79,5,19,15
907847604,WH-EAST,115,10,26,20
907847604,WH-WEST,105,2,13,15
48812370,WH-EAST,66,0,34,20
48812370,WH-WEST,56,1,5,15
331094227,WH-EAST,140,3,6,20
331094227,WH-WEST,50,5,6,15
1774925941,WH-EAST,135,0,33,20
1774925941,WH-WEST,98,5,15,15
1997340049,WH-EAST,174,2,2,20
1997340049,WH-WEST,37,6,10,15
370694829,WH-EAST,93,8,28,20
370694829,WH-WEST,77,5,0,15
3483895520,WH-EAST,74,7,4,20
3483895520,WH-WEST,86,2,8,15
1764748346,WH-EAST,152,6,6,20
1764748346,WH-WEST,91,6,20,15
5168273880,WH-EAST,134,2,36,20
5168273880,WH-WEST,95,1,7,15
5057611924,WH-EAST,144,5,39,20
5057611924,WH-WEST,68,3,11,15
1037166405,WH-EAST,139,2,7,20
1037166405,WH-WEST,39,5,7,15
1184654530,WH-EAST,180,1,19,20
1184654530,WH-WEST,79,3,0,15
689096319,WH-EAST,125,4,8,20
689096319,WH-WEST,104,0,13,15
602748918,WH-EAST,112,8,1,20
602748918,WH-WEST,42,5,14,15
5502936471,WH-EAST,167,7,34,20
5502936471,WH-WEST,90,2,14,15
1613734417,WH-EAST,116,1,4,20
1613734417,WH-WEST,30,0,10,15
676413174,WH-EAST,74,4,26,20
676413174,WH-WEST,50,1,5,15
1722962454,WH-EAST,146,7,35,20
1722962454,WH-WEST,98,1,6,15
299112609,WH-EAST,126,6,16,20
299112609,WH-WEST,66,3,18,15
2010024322,WH-EAST,162,4,39,20
2010024322,WH-WEST,67,4,19,15
1560005587,WH-EAST,89,9,29,20
1560005587,WH-WEST,116,3,13,15
287819116,WH-EAST,167,5,18,20
287819116,WH-WEST,46,5,15,15
859305074,WH-EAST,143,0,12,20
859305074,WH-WEST,85,5,11,15
3808974443,WH-EAST,64,9,0,20
3808974443,WH-WEST,80,6,13,15
5443068156,WH-EAST,126,9,37,20
5443068156,WH-WEST,107,0,15,15
693758408,WH-EAST,104,1,16,20
693758408,WH-WEST,93,0,6,15
10294885,WH-EAST,104,4,0,20
10294885,WH-WEST,58,2,8,15
3560683924,WH-EAST,156,1,18,20
3560683924,WH-WEST,104,3,13,15
595025504,WH-EAST,76,4,2,20
595025504,WH-WEST,41,2,13,15
788450043,WH-EAST,82,9,22,20
788450043,WH-WEST,117,1,8,15
1995467623,WH-EAST,144,4,12,20
1995467623,WH-WEST,56,2,4,15
896599636,WH-EAST,61,6,26,20
896599636,WH-WEST,50,0,19,15
310097871,WH-EAST,70,7,27,20
310097871,WH-WEST,40,4,12,15
199440001,WH-EAST,173,2,7,20
199440001,WH-WEST,35,2,7,15
5190064929,WH-EAST,84,2,20,20
5190064929,WH-WEST,33,6,3,15
110779998,WH-EAST,122,1,37,20
110779998,WH-WEST,87,4,14,15
5144555813,WH-EAST,173,1,15,20
5144555813,WH-WEST,92,3,6,15
2868760641,WH-EAST,78,8,26,20
2868760641,WH-WEST,66,4,16,15
2716531748,WH-EAST,162,0,14,20
2716531748,WH-WEST,78,6,13,15
112580004,WH-EAST,148,4,31,20
112580004,WH-WEST,105,2,11,15
6494751477,WH-EAST,62,0,21,20
6494751477,WH-WEST,80,3,8,15
1204774750,WH-EAST,79,2,21,20
1204774750,WH-WEST,75,1,0,15
215916201,WH-EAST,152,8,34,20
215916201,WH-WEST,81,4,15,15
321811404,WH-EAST,160,9,15,20
321811404,WH-WEST,65,2,1,15
5664556275,WH-EAST,70,0,23,20
5664556275,WH-WEST,39,4,4,15
729322559,WH-EAST,61,7,39,20
729322559,WH-WEST,34,5,16,15
5663974279,WH-EAST,173,6,25,20
5663974279,WH-WEST,96,0,7,15
786691113,WH-EAST,117,5,24,20
786691113,WH-WEST,77,4,10,15
5327761690,WH-EAST,147,9,1,20
5327761690,WH-WEST,61,0,13,15
1336755092,WH-EAST,178,0,9,20
1336755092,WH-WEST,48,0,9,15
2637400158,WH-EAST,141,4,34,20
2637400158,WH-WEST,85,0,17,15
3824041405,WH-EAST,164,3,8,20
3824041405,WH-WEST,70,4,2,15
2747441586,WH-EAST,95,1,23,20
2747441586,WH-WEST,90,6,0,15
2570740977,WH-EAST,169,6,1,20
2570740977,WH-WEST,52,5,12,15
5262717138,WH-EAST,91,4,21,20
5262717138,WH-WEST,85,3,19,15
391028302,WH-EAST,158,9,2,20
391028302,WH-WEST,116,2,10,15
910055282,WH-EAST,125,6,10,20
910055282,WH-WEST,41,2,12,15
1226247035,WH-EAST,161,1,7,20
1226247035,WH-WEST,62,1,1,15
886368088,WH-EAST,170,7,33,20
886368088,WH-WEST,96,0,12,15
5323625259,WH-EAST,165,5,15,20
5323625259,WH-WEST,42,5,13,15
10997171,WH-EAST,174,1,34,20
10997171,WH-WEST,33,5,12,15
3053955490,WH-EAST,74,4,30,20
3053955490,WH-WEST,75,4,5,15
606223683,WH-EAST,70,4,37,20
606223683,WH-WEST,39,4,16,15
385780287,WH-EAST,169,7,13,20
385780287,WH-WEST,107,4,15,15
5182915849,WH-EAST,147,6,28,20
5182915849,WH-WEST,76,4,4,15
28926816,WH-EAST,166,2,15,20
28926816,WH-WEST,96,1,17,15
1435754084,WH-EAST,86,9,28,20
1435754084,WH-WEST,63,4,2,15
261700925,WH-EAST,141,0,29,20
261700925,WH-WEST,103,2,4,15
887668036,WH-EAST,62,5,39,20
887668036,WH-WEST,50,4,13,15
5768017984,WH-EAST,64,2,38,20
5768017984,WH-WEST,68,1,5,15
2017664333,WH-EAST,137,9,6,20
2017664333,WH-WEST,55,1,17,15
2968552747,WH-EAST,109,3,2,20
2968552747,WH-WEST,119,5,8,15
1462273455,WH-EAST,105,6,28,20
1462273455,WH-WEST,112,4,7,15
2097897368,WH-EAST,167,0,21,20
2097897368,WH-WEST,96,0,10,15
393101003,WH-EAST,102,5,1,20
393101003,WH-WEST,95,6,18,15
182579201,WH-EAST,153,6,21,20
182579201,WH-WEST,76,4,17,15
903463722,WH-EAST,99,9,28,20
903463722,WH-WEST,91,4,16,15
1624985447,WH-EAST,144,1,21,20
1624985447,WH-WEST,108,2,19,15
5480667546,WH-EAST,79,3,21,20
5480667546,WH-WEST,97,3,1,15
1570467303,WH-EAST,140,5,4,20
1570467303,WH-WEST,36,0,4,15
2232013390,WH-EAST,128,8,8,20
2232013390,WH-WEST,93,0,8,15
5506488018,WH-EAST,67,8,22,20
5506488018,WH-WEST,111,6,20,15
957603867,WH-EAST,162,7,20,20
957603867,WH-WEST,47,6,5,15
974265277,WH-EAST,163,10,16,20
974265277,WH-WEST,44,3,1,15
5366405121,WH-EAST,88,7,35,20
5366405121,WH-WEST,75,2,11,15
1323968162,WH-EAST,156,10,27,20
1323968162,WH-WEST,75,3,10,15
3212008907,WH-EAST,102,0,20,20
3212008907,WH-WEST,58,2,8,15
1974609871,WH-EAST,156,9,5,20
1974609871,WH-WEST,78,1,16,15
146144209,WH-EAST,92,4,27,20
146144209,WH-WEST,82,3,6,15
2002762091,WH-EAST,75,5,30,20
2002762091,WH-WEST,66,1,16,15
1615288442,WH-EAST,77,4,24,20
1615288442,WH-WEST,112,3,9,15
2544735639,WH-EAST,128,4,36,20
2544735639,WH-WEST,30,3,14,15
141757585,WH-EAST,120,5,18,20
141757585,WH-WEST,34,6,9,15
5264765893,WH-EAST,106,1,17,20
5264765893,WH-WEST,49,5,6,15
10294756,WH-EAST,178,3,35,20
10294756,WH-WEST,48,4,19,15
1649464157,WH-EAST,160,4,10,20
1649464157,WH-WEST,109,3,4,15
864008591,WH-EAST,149,4,32,20
864008591,WH-WEST,88,3,20,15
953950834,WH-EAST,68,7,24,20
953950834,WH-WEST,106,2,8,15
5352569431,WH-EAST,157,6,24,20
5352569431,WH-WEST,119,5,4,15
393061304,WH-EAST,130,9,27,20
393061304,WH-WEST,64,5,4,15
2126911017,WH-EAST,151,1,28,20
2126911017,WH-WEST,104,5,13,15
3876384696,WH-EAST,62,6,24,20
3876384696,WH-WEST,42,0,3,15
54973324,WH-EAST,164,2,24,20
54973324,WH-WEST,78,4,0,15
3423574153,WH-EAST,127,3,15,20
3423574153,WH-WEST,54,3,10,15
100662878,WH-EAST,158,9,18,20
100662878,WH-WEST,46,3,18,15
381553241,WH-EAST,137,1,39,20
381553241,WH-WEST,106,1,16,15
33685485,WH-EAST,106,6,22,20
33685485,WH-WEST,49,4,2,15
180450545,WH-EAST,167,8,32,20
180450545,WH-WEST,65,4,12,15
377862424,WH-EAST,165,5,34,20
377862424,WH-WEST,43,4,6,15
5618790028,WH-EAST,103,5,11,20
5618790028,WH-WEST,103,4,12,15
5440778555,WH-EAST,131,9,38,20
5440778555,WH-WEST,57,1,16,15
2128773109,WH-EAST,174,2,9,20
2128773109,WH-WEST,108,1,7,15
1009224046,WH-EAST,143,0,34,20
1009224046,WH-WEST,113,3,1,15
10309083,WH-EAST,65,6,0,20
10309083,WH-WEST,69,2,9,15
667101829,WH-EAST,96,7,9,20
667101829,WH-WEST,70,0,19,15
1983309413,WH-EAST,155,9,16,20
1983309413,WH-WEST,94,1,7,15
5108346618,WH-EAST,66,10,40,20
5108346618,WH-WEST,96,1,9,15
1208578847,WH-EAST,129,2,32,20
1208578847,WH-WEST,65,5,8,15
265927683,WH-EAST,64,2,10,20
265927683,WH-WEST,84,6,12,15
529767263,WH-EAST,166,7,27,20
529767263,WH-WEST,32,4,0,15
832929384,WH-EAST,101,5,36,20
832929384,WH-WEST,98,1,6,15
5662896790,WH-EAST,62,6,33,20
5662896790,WH-WEST,49,1,18,15
5417683805,WH-EAST,115,5,12,20
5417683805,WH-WEST,57,5,6,15
141988874,WH-EAST,101,2,8,20
141988874,WH-WEST,66,2,19,15
1500372373,WH-EAST,177,6,22,20
1500372373,WH-WEST,40,4,12,15
37684787,WH-EAST,70,8,11,20
37684787,WH-WEST,113,5,19,15
5273430664,WH-EAST,72,8,17,20
5273430664,WH-WEST,95,2,15,15
2007589965,WH-EAST,173,9,36,20
2007589965,WH-WEST,106,2,8,15
2503512087,WH-EAST,74,1,0,20
2503512087,WH-WEST,68,6,17,15
257806313,WH-EAST,164,3,26,20
257806313,WH-WEST,113,4,16,15
5642502722,WH-EAST,84,10,39,20
5642502722,WH-WEST,40,5,4,15
618032539,WH-EAST,176,5,26,20
618032539,WH-WEST,70,2,20,15
1932369237,WH-EAST,87,1,16,20
1932369237,WH-WEST,31,4,6,15
829098148,WH-EAST,144,1,31,20
829098148,WH-WEST,94,1,4,15
1766457787,WH-EAST,158,2,1,20
1766457787,WH-WEST,70,1,5,15
455894581,WH-EAST,106,7,25,20
455894581,WH-WEST,91,2,5,15
1267967836,WH-EAST,89,1,5,20
1267967836,WH-WEST,89,0,11,15
5316176929,WH-EAST,131,6,17,20
5316176929,WH-WEST,46,1,2,15
5118743904,WH-EAST,79,5,37,20
5118743904,WH-WEST,99,4,14,15
908201566,WH-EAST,80,2,8,20
908201566,WH-WEST,49,2,17,15
5294092563,WH-EAST,85,7,22,20
5294092563,WH-WEST,67,0,17,15
5170388947,WH-EAST,96,3,8,20
5170388947,WH-WEST,55,4,13,15
369367315,WH-EAST,156,0,4,20
369367315,WH-WEST,99,1,5,15
1331751223,WH-EAST,169,1,35,20
1331751223,WH-WEST,98,6,19,15
920987081,WH-EAST,161,7,26,20
920987081,WH-WEST,92,5,9,15
569572519,WH-EAST,162,3,12,20
569572519,WH-WEST,44,2,10,15
46068414,WH-EAST,95,3,7,20
46068414,WH-WEST,37,4,3,15
5066959782,WH-EAST,118,2,7,20
5066959782,WH-WEST,108,6,18,15
10801127,WH-EAST,178,2,19,20
