sku,warehouse,available_inventory,reserved_inventory,incoming_inventory,reorder_level
SKU-10234,WH-EAST,60,3,8,20
SKU-10234,WH-WEST,113,4,11,15
SKU-55810,WH-EAST,0,3,30,20
SKU-55810,WH-WEST,0,5,11,15
SKU-77231,WH-EAST,14,7,25,20
SKU-77231,WH-WEST,9,5,5,15
SKU-90021,WH-EAST,105,7,2,20
SKU-90021,WH-WEST,94,4,9,15
SKU-40112,WH-EAST,55,9,32,20
SKU-40112,WH-WEST,25,1,10,15
00456-BOAT,WH-EAST,171,6,23,20
00456-BOAT,WH-WEST,92,5,18,15
SKU-88472,WH-EAST,105,8,13,20
SKU-88472,WH-WEST,60,1,6,15
SKU-31029,WH-EAST,111,9,22,20
SKU-31029,WH-WEST,57,4,18,15
SKU-77002,WH-EAST,67,6,20,20
SKU-77002,WH-WEST,55,3,4,15
SKU-64510,WH-EAST,169,4,14,20
SKU-64510,WH-WEST,35,4,18,15
SKU-12805,WH-EAST,122,4,11,20
SKU-12805,WH-WEST,45,2,8,15
