order_id,order_date,sku,quantity,selling_price,product_cost,order_status,discount
ORD-10001,2026-07-15,SKU-88472,1,65.00,31.00,Completed,
ORD-10001,2026-07-15,SKU-64510,3,32.99,14.10,Shipped,
ORD-10002,2026-07-15,SKU-31029,4,45.00,18.20,Completed,
ORD-10003,2026-07-15,SKU-88472,2,65.00,31.00,Completed,
ORD-10004,2026-07-15,SKU-64510,1,32.99,14.10,Completed,
ORD-10004,2026-07-15,SKU-12805,1,39.99,19.00,Shipped,
ORD-10005,2026-07-15,SKU-88472,1,65.00,31.00,Completed,10%
ORD-10005,2026-07-15,SKU-64510,4,32.99,14.10,Completed,
ORD-10006,2026-07-15,SKU-10234,1,12.99,6.20,Completed,
ORD-10007,2026-07-15,SKU-77231,3,15.99,7.80,Completed,
ORD-10008,2026-07-15,SKU-77231,2,15.99,7.80,Completed,
ORD-10008,2026-07-15,00456-BOAT,1,14.00,13.42,Completed,
ORD-10008,2026-07-15,SKU-12805,1,39.99,19.00,Completed,
ORD-10009,2026-07-15,SKU-20938,3,28.00,12.50,Completed,
ORD-10009,2026-07-15,SKU-77231,3,15.99,7.80,Completed,
ORD-10009,2026-07-15,SKU-31029,3,45.00,18.20,Completed,
ORD-10010,2026-07-16,SKU-12805,1,39.99,19.00,Shipped,10%
ORD-10011,2026-07-16,SKU-64510,4,32.99,14.10,Completed,10%
ORD-10012,2026-07-16,00456-BOAT,1,14.00,13.42,Shipped,10%
ORD-10012,2026-07-16,SKU-64510,3,32.99,14.10,Completed,
ORD-10013,2026-07-16,SKU-77231,2,15.99,7.80,Completed,10%
ORD-10013,2026-07-16,SKU-88472,4,65.00,31.00,Completed,
ORD-10014,2026-07-16,SKU-55810,2,8.49,4.10,Completed,
ORD-10014,2026-07-16,SKU-12805,2,39.99,19.00,Completed,
ORD-10015,2026-07-16,SKU-88472,3,65.00,31.00,Completed,
ORD-10016,2026-07-16,SKU-90021,3,22.50,10.75,Completed,
ORD-10017,2026-07-16,SKU-88472,2,65.00,31.00,Completed,
ORD-10018,2026-07-17,SKU-64510,3,32.99,14.10,Completed,
ORD-10018,2026-07-17,SKU-77002,3,19.99,8.60,Shipped,10%
ORD-10018,2026-07-17,SKU-10234,1,12.99,6.20,Completed,
ORD-10019,2026-07-17,SKU-10234,3,12.99,6.20,Completed,
ORD-10020,2026-07-17,SKU-77231,3,15.99,7.80,Completed,
ORD-10021,2026-07-17,00456-BOAT,3,14.00,13.42,Shipped,
ORD-10021,2026-07-17,SKU-77002,4,19.99,8.60,Completed,10%
ORD-10022,2026-07-17,SKU-55810,1,8.49,4.10,Shipped,
ORD-10022,2026-07-17,SKU-10234,2,12.99,6.20,Shipped,
ORD-10023,2026-07-17,SKU-12805,1,39.99,19.00,Completed,
ORD-10023,2026-07-17,SKU-10234,1,12.99,6.20,Completed,
ORD-10024,2026-07-17,SKU-12805,4,39.99,19.00,Shipped,
ORD-10025,2026-07-17,SKU-12805,4,39.99,19.00,Shipped,
ORD-10025,2026-07-17,00456-BOAT,3,14.00,13.42,Shipped,
ORD-10026,2026-07-17,SKU-31029,4,45.00,18.20,Completed,
ORD-10026,2026-07-17,SKU-12805,2,39.99,19.00,Completed,10%
ORD-10027,2026-07-17,SKU-64510,3,32.99,14.10,Shipped,10%
ORD-10027,2026-07-17,SKU-77002,1,19.99,8.60,Completed,
ORD-10028,2026-07-17,SKU-64510,4,32.99,14.10,Shipped,
ORD-10029,2026-07-17,00456-BOAT,4,14.00,13.42,Completed,10%
ORD-10029,2026-07-17,SKU-90021,3,22.50,10.75,Completed,
ORD-10030,2026-07-18,SKU-77231,4,15.99,7.80,Completed,
ORD-10030,2026-07-18,SKU-31029,4,45.00,18.20,Completed,
ORD-10031,2026-07-18,SKU-12805,1,39.99,19.00,Completed,
ORD-10032,2026-07-18,SKU-31029,4,45.00,18.20,Completed,
ORD-10033,2026-07-18,SKU-12805,3,39.99,19.00,Completed,
ORD-10034,2026-07-18,SKU-10234,4,12.99,6.20,Completed,
